_id,adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,lpg_dagitim_sirketi,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longtitude
177,Firma 917,2,Akaryakıt Lpg,Firma 10,,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.01840194,28.63257349
178,Firma 412,1,Akaryakıt,Firma 13,,1,Aktif,1622,SİLİVRİ,40922,CUMHURİYET,41.07046999,28.27883598
179,Firma 18,1,Akaryakıt,,,1,Aktif,2053,ESENYURT,40863,ORHAN GAZİ,,
180,Firma 593,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1327,FATİH,99129,HASEKİ SULTAN,41.00707534,28.93679318
181,Firma 379,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2050,BAŞAKŞEHİR,40581,BAŞAKŞEHİR,41.09846363,28.79100388
182,Firma 758,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1336,GAZİOSMANPAŞA,40455,MERKEZ,41.05559916,28.90966919
183,Firma 679,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,41.09169625,28.63411926
184,Firma 894,2,Akaryakıt Lpg,Firma 7,Firma 18,1,Aktif,2004,BAĞCILAR,40174,KEMALPAŞA,41.05404038,28.85444228
185,Firma 649,1,Akaryakıt,Firma 32,,1,Aktif,1622,SİLİVRİ,40921,YENİ,41.07231784,28.27391577
186,Firma 484,1,Akaryakıt,Firma 14,,1,Aktif,1237,ÇATALCA,40917,ÇİFTLİKKÖY,41.33691805,28.41568618
187,Firma 650,1,Akaryakıt,Firma 15,,1,Aktif,1708,ÜSKÜDAR,40808,KİRAZLITEPE,41.03650507,29.06536996
188,Firma 565,2,Akaryakıt Lpg,Firma 2,Firma 48,1,Aktif,1237,ÇATALCA,191791,GÖKÇEALİ,41.19727482,28.44551218
189,Firma 327,2,Akaryakıt Lpg,Firma 2,Firma 6,1,Aktif,2053,ESENYURT,40851,FATİH,41.02936748,28.68260853
190,Firma 419,1,Akaryakıt,Firma 13,,1,Aktif,1449,KARTAL,40571,YALI,40.89993015,29.21995075
191,Firma 288,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,2052,ÇEKMEKÖY,191997,REŞADİYE,41.07875581,29.25029521
192,Firma 262,2,Akaryakıt Lpg,Firma 32,,1,Aktif,2052,ÇEKMEKÖY,40752,NİŞANTEPE,41.04312366,29.27602181
193,Firma 15,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,2053,ESENYURT,181508,SULTANİYE,41.02169457,28.68757661
194,Firma 119,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1708,ÜSKÜDAR,40781,ALTUNİZADE,41.02308930,29.04313523
195,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1823,KÜÇÜKÇEKMECE,40607,CENNET,40.98594941,28.78385495
196,Firma 669,1,Akaryakıt,Firma 14,,1,Aktif,1336,GAZİOSMANPAŞA,40457,FEVZİ ÇAKMAK,41.06964438,28.90311374
197,Firma 520,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2055,SULTANGAZİ,40466,YUNUS EMRE,41.09514910,28.89592117
198,Firma 236,1,Akaryakıt,Firma 5,,1,Aktif,1327,FATİH,40397,İSKENDERPAŞA,41.01637965,28.94926326
199,Firma 495,1,Akaryakıt,Firma 21,,1,Aktif,1237,ÇATALCA,40916,KARACAKÖY MERKEZ,41.40368877,28.37736237
200,Firma 878,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,2048,ARNAVUTKÖY,191989,YASSIÖREN,41.18348043,28.59808428
201,Firma 623,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.02941408,28.79570732
202,Firma 779,1,Akaryakıt,Firma 5,,1,Aktif,1622,SİLİVRİ,40919,PİRİ MEHMET PAŞA,41.07694152,28.24642011
203,Firma 761,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1886,BAYRAMPAŞA,40206,TERAZİDERE,41.02806636,28.90068303
204,Firma 214,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1186,BEYOĞLU,40302,KEÇECİ PİRİ,41.03833142,28.95672622
205,Firma 166,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1421,KADIKÖY,40508,KOŞUYOLU,41.00436516,29.03031176
206,Firma 8,1,Akaryakıt,Firma 13,,1,Aktif,1336,GAZİOSMANPAŞA,40462,MEVLANA,41.08253132,28.91672524
207,Firma 751,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1186,BEYOĞLU,40294,ÖMER AVNİ,41.03532153,28.99380776
208,Firma 744,1,Akaryakıt,Firma 5,,1,Aktif,2012,MALTEPE,40612,ALTAYÇEŞME,40.93139349,29.12881027
209,Firma 453,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1782,BÜYÜKÇEKMECE,40868,PINARTEPE,40.99781132,28.60520225
210,Firma 253,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1739,ZEYTİNBURNU,40836,VELİEFENDİ,40.99398610,28.89457035
211,Firma 466,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1835,PENDİK,40653,YENİŞEHİR,40.93937772,29.31722879
212,Firma 103,1,Akaryakıt,Firma 13,Firma 39,1,Aktif,2015,TUZLA,40720,AYDINLI,40.87124126,29.33149329
213,Firma 10,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2012,MALTEPE,40616,YALI,40.91444451,29.14083401
214,Firma 731,1,Akaryakıt,Firma 12,,1,Aktif,1810,KAĞITHANE,40553,YEŞİLCE,41.09362435,29.00441833
215,Firma 373,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1810,KAĞITHANE,40543,MERKEZ,41.07857234,28.97196755
216,Firma 112,1,Akaryakıt,Firma 14,,1,Aktif,1622,SİLİVRİ,191853,DANAMANDIRA,41.30537103,28.24175507
217,Firma 731,1,Akaryakıt,Firma 12,,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,41.02278530,29.10961330
218,Firma 449,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,41.01981277,28.90877611
219,Firma 736,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1835,PENDİK,40648,YEŞİLBAĞLAR,40.89433953,29.22853250
220,Firma 185,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1663,ŞİŞLİ,40687,BOZKURT,41.04841645,28.98502515
221,Firma 598,1,Akaryakıt,Firma 12,,1,Aktif,2015,TUZLA,40729,ORTA,40.89881483,29.36930541
222,Firma 63,1,Akaryakıt,Firma 15,Firma 42,1,Aktif,2051,BEYLİKDÜZÜ,40894,YAKUPLU,40.98987317,28.66840080
223,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2005,BAHÇELİEVLER,40182,KOCASİNAN MERKEZ,41.01313068,28.84679765
224,Firma 471,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2054,SANCAKTEPE,40763,SARIGAZİ,41.00791108,29.20168331
225,Firma 633,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1166,BAKIRKÖY,40197,KARTALTEPE,40.98784904,28.88374387
226,Firma 489,2,Akaryakıt Lpg,Firma 20,Firma 50,1,Aktif,1835,PENDİK,40653,YENİŞEHİR,40.92653517,29.31562524
227,Firma 281,2,Akaryakıt Lpg,Firma 2,Firma 48,1,Aktif,2051,BEYLİKDÜZÜ,40870,DEREAĞZI,40.98943024,28.61889796
228,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 47,1,Aktif,1449,KARTAL,40555,CEVİZLİ,40.91616064,29.16989523
229,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1739,ZEYTİNBURNU,40842,MERKEZEFENDİ,41.01682003,28.91287897
230,Firma 490,1,Akaryakıt,Firma 12,,1,Aktif,2015,TUZLA,40728,ORHANLI,40.89393440,29.35516815
231,Firma 628,1,Akaryakıt,Firma 15,,1,Aktif,1622,SİLİVRİ,40921,YENİ,41.07458129,28.26178320
232,Firma 332,2,Akaryakıt Lpg,Firma 27,Firma 51,1,Aktif,2014,SULTANBEYLİ,40947,TURGUT REİS,40.96388354,29.28443917
233,Firma 731,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.00797010,28.53766986
234,Firma 385,1,Akaryakıt,Firma 13,,1,Aktif,1622,SİLİVRİ,40923,MİMAR SİNAN,41.08141999,28.22079936
235,Firma 190,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1622,SİLİVRİ,40938,ORTAKÖY,41.08346835,28.36836091
236,Firma 140,1,Akaryakıt,Firma 13,,1,Aktif,2052,ÇEKMEKÖY,40757,MİMAR SİNAN,41.03232541,29.17362107
237,Firma 627,2,Akaryakıt Lpg,Firma 27,,1,Aktif,1823,KÜÇÜKÇEKMECE,40588,KARTALTEPE,41.00021027,28.80072929
238,Firma 519,1,Akaryakıt,Firma 10,,1,Aktif,1327,FATİH,40422,DERVİŞ ALİ,41.02980115,28.93902429
239,Firma 279,2,Akaryakıt Lpg,Firma 24,Firma 25,1,Aktif,1449,KARTAL,40567,SOĞANLIK YENİ,40.91692058,29.19568618
240,Firma 616,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.04460254,28.82071922
241,Firma 847,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1708,ÜSKÜDAR,40820,SELİMİYE,41.00831569,29.02304984
242,Firma 328,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1835,PENDİK,40641,YAYALAR,40.89918877,29.26866470
243,Firma 481,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1186,BEYOĞLU,40264,KAPTANPAŞA,41.04161852,28.96642489
244,Firma 390,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2054,SANCAKTEPE,40762,MECLİS,41.01369796,29.19118382
245,Firma 451,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1659,ŞİLE,40959,ÇAVUŞ,41.15688719,29.62826510
246,Firma 362,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.05631325,28.36998004
247,Firma 438,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2004,BAĞCILAR,40162,MERKEZ,41.02749641,28.85739339
248,Firma 746,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1708,ÜSKÜDAR,40781,ALTUNİZADE,41.02380587,29.04200380
249,Firma 507,1,Akaryakıt,Firma 10,,1,Aktif,2053,ESENYURT,40880,AKÇABURGAZ,41.05037257,28.62850889
250,Firma 215,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1325,EYÜPSULTAN,40368,KARADOLAP,41.06937155,28.93316692
251,Firma 893,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2053,ESENYURT,181508,SULTANİYE,41.02314038,28.68670988
252,Firma 816,1,Akaryakıt,Firma 3,,1,Aktif,1622,SİLİVRİ,40927,ALİPAŞA,41.10731249,28.22173863
253,Firma 106,1,Akaryakıt,Firma 13,,1,Aktif,1835,PENDİK,40634,GÜZELYALI,40.86125332,29.27186713
254,Firma 71,1,Akaryakıt,Firma 9,Firma 3,1,Aktif,2014,SULTANBEYLİ,40956,AKŞEMSETTİN,40.94238474,29.30108773
255,Firma 522,1,Akaryakıt,Firma 9,,1,Aktif,1663,ŞİŞLİ,40700,HUZUR,41.10294228,28.99991812
256,Firma 215,1,Akaryakıt,Firma 15,,1,Aktif,2049,ATAŞEHİR,40530,İÇERENKÖY,40.96618877,29.10487218
257,Firma 423,1,Akaryakıt,Firma 15,,1,Aktif,1852,ÜMRANİYE,98688,CEMİL MERİÇ,41.01604178,29.15031837
258,Firma 731,1,Akaryakıt,Firma 12,,1,Aktif,1886,BAYRAMPAŞA,40207,ALTINTEPSİ,41.04267971,28.89604688
259,Firma 476,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1835,PENDİK,40631,KAYNARCA,40.86945447,29.26901487
260,Firma 443,1,Akaryakıt,Firma 12,,1,Aktif,1604,SARIYER,40666,İSTİNYE,41.11428516,29.06011309
261,Firma 571,1,Akaryakıt,Firma 20,,1,Aktif,2054,SANCAKTEPE,40624,BÜYÜKBAKKALKÖY,40.98163881,29.22145731
262,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1622,SİLİVRİ,40941,BÜYÜK ÇAVUŞLU,41.25586386,28.03628635
263,Firma 694,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1449,KARTAL,40556,CUMHURİYET,40.91051823,29.21605159
264,Firma 447,2,Akaryakıt Lpg,,Firma 34,1,Aktif,2048,ARNAVUTKÖY,191985,BOYALIK,41.27717314,28.61228124
265,Firma 861,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2012,MALTEPE,40614,CEVİZLİ,40.91644049,29.14668450
266,Firma 852,2,Akaryakıt Lpg,Firma 13,Firma 38,1,Aktif,1186,BEYOĞLU,40289,SURURİ MEHMET EFENDİ,41.03845927,28.97348141
267,Firma 821,2,Akaryakıt Lpg,Firma 13,Firma 25,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,41.01427770,28.90059434
268,Firma 889,1,Akaryakıt,Firma 13,,1,Aktif,2055,SULTANGAZİ,40471,50. YIL,41.09173674,28.86447997
269,Firma 70,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2005,BAHÇELİEVLER,40184,ÇOBANÇEŞME,40.99309489,28.82714527
270,Firma 366,2,Akaryakıt Lpg,Firma 7,Firma 52,1,Aktif,1622,SİLİVRİ,40938,ORTAKÖY,41.09428834,28.37628946
271,Firma 97,2,Akaryakıt Lpg,,,1,Aktif,1659,ŞİLE,191885,KIZILCA,41.16743031,29.54177093
272,Firma 401,1,Akaryakıt,Firma 13,,1,Aktif,2048,ARNAVUTKÖY,99359,ANADOLU,41.17749479,28.74801348
273,Firma 744,1,Akaryakıt,,Firma 14,1,Aktif,1835,PENDİK,40656,ÇAMLIK,40.91920839,29.28658978
274,Firma 353,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1708,ÜSKÜDAR,40788,BULGURLU,41.01682066,29.07617025
275,Firma 550,1,Akaryakıt,Firma 15,,1,Aktif,2014,SULTANBEYLİ,40950,MEHMET AKİF,40.96971958,29.26609861
276,Firma 353,1,Akaryakıt,Firma 13,,1,Aktif,1166,BAKIRKÖY,40199,ŞENLİKKÖY,40.97264735,28.78982828
277,Firma 924,2,Akaryakıt Lpg,Firma 13,Firma 38,1,Aktif,1325,EYÜPSULTAN,,,41.23374338,28.88446852
278,Firma 661,1,Akaryakıt,Firma 13,Firma 14,1,Aktif,2048,ARNAVUTKÖY,40483,BOĞAZKÖY İSTİKLAL,41.13664862,28.81122700
279,Firma 983,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1421,KADIKÖY,40528,19 MAYIS,40.97755127,29.09709300
280,Firma 170,1,Akaryakıt,Firma 10,,1,Aktif,1421,KADIKÖY,40515,FENERYOLU,40.98428999,29.05691032
281,Firma 938,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2014,SULTANBEYLİ,40943,ADİL,40.97286792,29.26230214
282,Firma 877,1,Akaryakıt,Firma 13,,1,Aktif,1886,BAYRAMPAŞA,40208,YENİDOĞAN,41.03959059,28.91131820
283,Firma 719,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2055,SULTANGAZİ,40471,50. YIL,41.08708975,28.86891506
284,Firma 269,2,Akaryakıt Lpg,Firma 12,Firma 10,1,Aktif,2055,SULTANGAZİ,40473,UĞUR MUMCU,41.10404414,28.86197178
285,Firma 306,1,Akaryakıt,Firma 15,,1,Aktif,1185,BEYKOZ,191701,AKBABA,41.14832259,29.11321153
286,Firma 169,1,Akaryakıt,Firma 12,,1,Aktif,1325,EYÜPSULTAN,40361,DEFTERDAR,41.03746456,28.92574623
287,Firma 215,1,Akaryakıt,Firma 15,,1,Aktif,2003,AVCILAR,,,41.05779921,28.71278394
288,Firma 52,1,Akaryakıt,Firma 13,,1,Aktif,2048,ARNAVUTKÖY,40912,HASTANE,41.15816138,28.61356557
289,Firma 333,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2004,BAĞCILAR,40175,GÖZTEPE,41.05668763,28.83049742
290,Firma 974,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.88688466,29.23998611
291,Firma 610,1,Akaryakıt,Firma 3,,1,Aktif,1659,ŞİLE,191861,AHMETLİ,41.14440700,29.57629350
292,Firma 503,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.01976026,28.56367183
293,Firma 900,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1325,EYÜPSULTAN,40370,MİTHATPAŞA,41.16944965,28.90500865
294,Firma 92,1,Akaryakıt,Firma 12,Firma 36,1,Aktif,2015,TUZLA,40718,EVLİYA ÇELEBİ,40.84673672,29.29609942
295,Firma 969,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,2015,TUZLA,40722,ŞİFA,40.81725610,29.36250854
296,Firma 989,2,Akaryakıt Lpg,Firma 2,Firma 48,1,Aktif,2051,BEYLİKDÜZÜ,40869,ADNAN KAHVECİ,40.99610084,28.62528870
297,Firma 79,3,Lpg,,Firma 28,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.03686638,28.81027951
298,Firma 604,2,Akaryakıt Lpg,,,1,Aktif,1421,KADIKÖY,40519,MERDİVENKÖY,40.99066123,29.07682169
299,Firma 89,1,Akaryakıt,Firma 5,,1,Aktif,1449,KARTAL,40563,KORDONBOYU,40.88755051,29.19164291
300,Firma 353,1,Akaryakıt,Firma 13,,1,Aktif,2048,ARNAVUTKÖY,40906,ÖMERLİ,41.09032672,28.63415889
301,Firma 401,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1852,ÜMRANİYE,98701,SARAY,41.02251645,29.11600808
302,Firma 685,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2014,SULTANBEYLİ,40944,BATTALGAZİ,40.98258981,29.26674689
303,Firma 609,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1810,KAĞITHANE,40543,MERKEZ,41.08423543,28.97827214
304,Firma 684,2,Akaryakıt Lpg,Firma 13,Firma 10,1,Aktif,1835,PENDİK,40652,YENİ,40.88107458,29.23236200
305,Firma 256,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2015,TUZLA,,,40.91719110,29.35437229
306,Firma 421,2,Akaryakıt Lpg,Firma 24,Firma 25,1,Aktif,1835,PENDİK,40629,FEVZİ ÇAKMAK,40.88005500,29.25938796
307,Firma 720,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.02923287,28.80651589
308,Firma 365,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1782,BÜYÜKÇEKMECE,99334,ÇAKMAKLI,41.06395049,28.62197960
309,Firma 496,2,Akaryakıt Lpg,Firma 10,Firma 33,1,Aktif,2050,BAŞAKŞEHİR,40581,BAŞAKŞEHİR,,
310,Firma 159,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2054,SANCAKTEPE,40771,SAFA,41.01373120,29.24597297
311,Firma 225,1,Akaryakıt,Firma 13,,1,Aktif,2053,ESENYURT,181508,SULTANİYE,41.03210179,28.68206942
312,Firma 559,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2004,BAĞCILAR,40175,GÖZTEPE,41.05403682,28.83352668
313,Firma 16,1,Akaryakıt,Firma 15,,1,Aktif,1327,FATİH,99139,KARAGÜMRÜK,41.02860721,28.93680477
314,Firma 567,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.05997752,28.83135469
315,Firma 744,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2004,BAĞCILAR,40155,BAĞLAR,41.02608257,28.81410163
316,Firma 393,2,Akaryakıt Lpg,Firma 27,Firma 51,1,Aktif,1739,ZEYTİNBURNU,40842,MERKEZEFENDİ,41.01629900,28.91167162
317,Firma 389,2,Akaryakıt Lpg,Firma 15,Firma 48,1,Aktif,1237,ÇATALCA,191815,SUBAŞI,41.22299745,28.45500613
318,Firma 401,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1823,KÜÇÜKÇEKMECE,40589,GÜLTEPE,40.99291354,28.79361403
319,Firma 55,2,Akaryakıt Lpg,Firma 2,Firma 48,1,Aktif,1186,BEYOĞLU,40297,KEMANKEŞ KARAMUSTAFAPAŞA,41.02601545,28.97975053
320,Firma 731,2,Akaryakıt Lpg,,,1,Aktif,1823,KÜÇÜKÇEKMECE,40582,ATAKENT,41.03474573,28.76686786
321,Firma 4,1,Akaryakıt,,,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
322,Firma 729,3,Lpg,,Firma 45,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.08082731,28.89435742
323,Firma 109,1,Akaryakıt,Firma 15,,1,Aktif,1835,PENDİK,40630,ŞEYHLİ,40.90789654,29.29335117
324,Firma 621,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2048,ARNAVUTKÖY,40485,MAVİGÖL,41.20339590,28.75979455
325,Firma 233,1,Akaryakıt,Firma 13,,1,Aktif,2012,MALTEPE,40612,ALTAYÇEŞME,40.92936189,29.12954455
326,Firma 266,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1659,ŞİLE,40961,AĞVA MERKEZ,41.12918897,29.85330148
327,Firma 857,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1835,PENDİK,40630,ŞEYHLİ,40.90436916,29.27867645
328,Firma 593,1,Akaryakıt,Firma 5,,1,Aktif,1886,BAYRAMPAŞA,40212,KOCATEPE,41.05010145,28.89979986
329,Firma 692,1,Akaryakıt,Firma 12,,1,Aktif,1810,KAĞITHANE,40536,ÇELİKTEPE,41.08336653,28.99973039
330,Firma 709,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1336,GAZİOSMANPAŞA,40463,KARAYOLLARI,41.08065521,28.90724531
331,Firma 423,2,Akaryakıt Lpg,Firma 5,,1,Aktif,1835,PENDİK,40631,KAYNARCA,40.86453919,29.27137385
332,Firma 66,2,Akaryakıt Lpg,Firma 9,Firma 26,1,Aktif,1835,PENDİK,40634,GÜZELYALI,40.85619462,29.28717171
333,Firma 426,1,Akaryakıt,Firma 13,,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.97831858,29.12361155
334,Firma 907,2,Akaryakıt Lpg,Firma 10,Firma 33,1,Aktif,2050,BAŞAKŞEHİR,40583,KAYABAŞI,,
335,Firma 139,1,Akaryakıt,Firma 9,,1,Aktif,1336,GAZİOSMANPAŞA,40455,MERKEZ,41.05413073,28.91050432
336,Firma 731,1,Akaryakıt,Firma 12,,1,Aktif,1823,KÜÇÜKÇEKMECE,40593,TEVFİKBEY,41.00999857,28.79432010
337,Firma 651,1,Akaryakıt,Firma 12,,1,Aktif,2052,ÇEKMEKÖY,40749,ALEMDAĞ,41.03967624,29.23452196
338,Firma 954,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1449,KARTAL,40559,ESENTEPE,40.91212164,29.19191256
339,Firma 301,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1810,KAĞITHANE,40552,YAHYA KEMAL,41.08893676,28.98501544
340,Firma 771,1,Akaryakıt,Firma 13,,1,Aktif,1886,BAYRAMPAŞA,40209,İSMET PAŞA,41.04060278,28.91167199
341,Firma 553,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2005,BAHÇELİEVLER,40177,BAHÇELİEVLER,41.00227299,28.88296925
342,Firma 494,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1886,BAYRAMPAŞA,40203,CEVATPAŞA,41.07299288,28.88672428
343,Firma 370,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1185,BEYKOZ,40246,GÖZTEPE,41.08110132,29.07702496
344,Firma 911,1,Akaryakıt,Firma 12,,1,Aktif,1327,FATİH,99142,ZEYREK,41.01876263,28.95443025
345,Firma 8,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2016,ESENLER,40348,BİRLİK,41.05385238,28.86634702
346,Firma 864,1,Akaryakıt,Firma 22,,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.06504724,28.32098610
347,Firma 341,1,Akaryakıt,Firma 12,,1,Aktif,1835,PENDİK,40644,ÇINARDERE,40.89040395,29.23603291
348,Firma 927,1,Akaryakıt,Firma 15,Firma 42,1,Aktif,2051,BEYLİKDÜZÜ,40893,MARMARA,40.98186429,28.68256861
349,Firma 286,1,Akaryakıt,Firma 5,,1,Aktif,1183,BEŞİKTAŞ,40230,NİSBETİYE,41.07384915,29.01594593
350,Firma 593,1,Akaryakıt,Firma 5,,1,Aktif,1886,BAYRAMPAŞA,40211,KARTALTEPE,41.05569525,28.89676411
351,Firma 475,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2048,ARNAVUTKÖY,40912,HASTANE,41.15255923,28.61693973
352,Firma 654,2,Akaryakıt Lpg,Firma 14,Firma 25,1,Aktif,1237,ÇATALCA,40903,ATATÜRK,41.41019550,28.18547550
353,Firma 401,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,1336,GAZİOSMANPAŞA,40461,KAZIM KARABEKİR,41.06957312,28.91646330
354,Firma 711,1,Akaryakıt,Firma 3,,1,Aktif,1810,KAĞITHANE,40539,GÜRSEL,41.07514309,28.96960020
355,Firma 27,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.01952776,28.62933529
356,Firma 802,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2015,TUZLA,40726,TEPEÖREN,40.94062621,29.36988150
357,Firma 934,1,Akaryakıt,Firma 5,,1,Aktif,1810,KAĞITHANE,40546,ORTABAYIR,41.07888405,29.00292394
358,Firma 243,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,1823,KÜÇÜKÇEKMECE,40595,SULTAN MURAT,41.00259596,28.78740856
359,Firma 754,2,Akaryakıt Lpg,Firma 10,Firma 33,1,Aktif,2055,SULTANGAZİ,40356,ESKİ HABİPLER,41.13196351,28.82696282
360,Firma 593,1,Akaryakıt,Firma 5,,1,Aktif,1739,ZEYTİNBURNU,40836,VELİEFENDİ,40.99509797,28.89498736
361,Firma 886,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2053,ESENYURT,40858,SAADETDERE,41.00935027,28.70135904
362,Firma 643,1,Akaryakıt,Firma 12,,1,Aktif,2048,ARNAVUTKÖY,99358,MUSTAFA KEMAL PAŞA,41.19165865,28.73369324
