_id,adi,is_nevi,is_nevi_tnm,akaryakit_dagitim_sirketi,lpg_dagitim_sirketi,tesis_turu,tesis_turu_tnm,ilce_uavt,ilce,mahalle_uavt,mahalle_adi,latitude,longtitude
42,Firma 583,1,Akaryakıt,Firma 12,,1,Aktif,1186,BEYOĞLU,40303,PİRİPAŞA,41.04371363,28.94792856
43,Firma 593,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2004,BAĞCILAR,40159,İNÖNÜ,41.02743229,28.84747155
44,Firma 598,2,Akaryakıt Lpg,Firma 12,Firma 28,1,Aktif,2049,ATAŞEHİR,40577,FERHATPAŞA,40.98135375,29.16506433
45,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 14,1,Aktif,2016,ESENLER,40355,ORUÇREİS,41.07131312,28.86789576
46,Firma 521,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01163702,28.82838406
47,Firma 188,1,Akaryakıt,Firma 15,,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.02438860,28.62363627
48,Firma 401,2,Akaryakıt Lpg,Firma 10,,1,Aktif,1237,ÇATALCA,,,,
49,Firma 138,1,Akaryakıt,Firma 12,,1,Aktif,1708,ÜSKÜDAR,40788,BULGURLU,41.01853850,29.08457534
50,Firma 158,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,41.02772258,28.90843274
51,Firma 965,1,Akaryakıt,Firma 19,,1,Aktif,2048,ARNAVUTKÖY,191989,YASSIÖREN,41.23183977,28.59967308
52,Firma 95,2,Akaryakıt Lpg,,,1,Aktif,1886,BAYRAMPAŞA,40213,MURATPAŞA,41.05178542,28.91069202
53,Firma 700,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1739,ZEYTİNBURNU,40840,KAZLIÇEŞME,41.00221520,28.91983752
54,Firma 31,2,Akaryakıt Lpg,Firma 20,Firma 50,1,Aktif,1835,PENDİK,40628,BAHÇELİEVLER,40.88430941,29.23593670
55,Firma 731,1,Akaryakıt,Firma 12,,1,Aktif,1166,BAKIRKÖY,40196,ATAKÖY 7-8-9-10. KISIM,40.99171034,28.83805773
56,Firma 663,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2048,ARNAVUTKÖY,40480,YAVUZ SELİM,41.20513127,28.72826561
57,Firma 383,2,Akaryakıt Lpg,Firma 12,Firma 37,1,Aktif,2053,ESENYURT,181488,BARBAROS HAYRETTİN PAŞA,41.01685310,28.63926464
58,Firma 178,1,Akaryakıt,Firma 12,,1,Aktif,1449,KARTAL,40571,YALI,40.89673080,29.22263569
59,Firma 68,1,Akaryakıt,Firma 5,,1,Aktif,2054,SANCAKTEPE,40579,ABDURRAHMANGAZİ,40.99167440,29.22373631
60,Firma 952,2,Akaryakıt Lpg,Firma 10,Firma 33,1,Aktif,2049,ATAŞEHİR,40531,KÜÇÜKBAKKALKÖY,40.98244232,29.10612673
61,Firma 693,1,Akaryakıt,Firma 5,,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.96950037,29.22021668
62,Firma 902,2,Akaryakıt Lpg,Firma 5,,1,Aktif,2005,BAHÇELİEVLER,40183,YENİBOSNA MERKEZ,41.01542544,28.82435830
63,Firma 454,1,Akaryakıt,Firma 10,,1,Aktif,1186,BEYOĞLU,40279,İSTİKLAL,41.04123713,28.96729852
64,Firma 529,2,Akaryakıt Lpg,Firma 11,,1,Aktif,2052,ÇEKMEKÖY,40758,ÖMERLİ,41.08760596,29.34745491
65,Firma 578,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1421,KADIKÖY,40529,KOZYATAĞI,40.96764901,29.10274261
66,Firma 146,1,Akaryakıt,Firma 12,,1,Aktif,2055,SULTANGAZİ,40472,SULTANÇİFTLİĞİ,41.09489084,28.86334675
67,Firma 819,1,Akaryakıt,Firma 12,,1,Aktif,2012,MALTEPE,40612,ALTAYÇEŞME,40.92783851,29.13306917
68,Firma 593,1,Akaryakıt,Firma 5,,1,Aktif,1604,SARIYER,191777,USKUMRUKÖY,41.19144222,29.03680574
69,Firma 554,2,Akaryakıt Lpg,Firma 12,Firma 36,1,Aktif,2012,MALTEPE,40608,ÇINAR,40.94776756,29.12343930
70,Firma 89,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1421,KADIKÖY,40529,KOZYATAĞI,40.96644558,29.10335137
71,Firma 845,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2052,ÇEKMEKÖY,40765,TAŞDELEN,41.03084799,29.23101092
72,Firma 869,1,Akaryakıt,Firma 10,,1,Aktif,1622,SİLİVRİ,40940,SELİMPAŞA,41.06387731,28.32291996
73,Firma 8,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,1185,BEYKOZ,40244,GÖKSU,41.07999656,29.07078134
74,Firma 739,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2004,BAĞCILAR,40173,FEVZİ ÇAKMAK,41.04773828,28.85967769
75,Firma 644,1,Akaryakıt,Firma 13,,1,Aktif,1449,KARTAL,40556,CUMHURİYET,40.90247235,29.21751190
76,Firma 64,1,Akaryakıt,Firma 13,,1,Aktif,2014,SULTANBEYLİ,40956,AKŞEMSETTİN,40.94255158,29.30204185
77,Firma 590,2,Akaryakıt Lpg,Firma 10,Firma 29,1,Aktif,1336,GAZİOSMANPAŞA,40459,BARBAROS HAYRETTİN PAŞA,41.08089939,28.89335859
78,Firma 845,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2012,MALTEPE,40623,ZÜMRÜTEVLER,40.93749563,29.14092765
79,Firma 403,2,Akaryakıt Lpg,Firma 13,Firma 39,1,Aktif,2004,BAĞCILAR,40167,YENİMAHALLE,41.03986548,28.83360109
80,Firma 353,1,Akaryakıt,Firma 13,,1,Aktif,1810,KAĞITHANE,40551,TELSİZLER,41.07519130,28.99990174
81,Firma 149,1,Akaryakıt,Firma 3,,1,Aktif,2003,AVCILAR,40154,TAHTAKALE,41.05823633,28.73067151
82,Firma 5,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.06971419,28.82515769
83,Firma 905,1,Akaryakıt,Firma 13,Firma 39,1,Aktif,1823,KÜÇÜKÇEKMECE,40582,ATAKENT,41.04444737,28.78202783
84,Firma 265,2,Akaryakıt Lpg,Firma 9,Firma 26,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.07437664,28.90499752
85,Firma 75,1,Akaryakıt,Firma 10,,1,Aktif,1886,BAYRAMPAŞA,40210,YILDIRIM,41.07009753,28.89254169
86,Firma 880,2,Akaryakıt Lpg,Firma 3,Firma 14,1,Aktif,2004,BAĞCILAR,40175,GÖZTEPE,41.05998749,28.83207995
87,Firma 474,1,Akaryakıt,Firma 10,,1,Aktif,2003,AVCILAR,40154,TAHTAKALE,41.05682424,28.72805300
88,Firma 179,1,Akaryakıt,Firma 5,,1,Aktif,1708,ÜSKÜDAR,40789,BURHANİYE,41.02421121,29.05469689
89,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 36,1,Aktif,1852,ÜMRANİYE,98699,NECİP FAZIL,41.01651051,29.17768789
90,Firma 828,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2015,TUZLA,40726,TEPEÖREN,40.93586163,29.36116370
91,Firma 706,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2055,SULTANGAZİ,40474,CEBECİ,41.11363622,28.85721776
92,Firma 94,2,Akaryakıt Lpg,Firma 10,Firma 10,1,Aktif,2004,BAĞCILAR,40170,MAHMUTBEY,41.05015537,28.81207503
93,Firma 118,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,1421,KADIKÖY,40516,EĞİTİM,40.98943776,29.04218668
94,Firma 1,2,Akaryakıt Lpg,Firma 5,,1,Aktif,1852,ÜMRANİYE,40748,ATAKENT,41.02215900,29.11268323
95,Firma 96,1,Akaryakıt,Firma 12,,1,Aktif,1708,ÜSKÜDAR,98669,SULTANTEPE,41.02892188,29.01747482
96,Firma 731,2,Akaryakıt Lpg,Firma 12,Firma 47,1,Aktif,2004,BAĞCILAR,40165,YAVUZ SELİM,41.04180765,28.84978727
97,Firma 141,2,Akaryakıt Lpg,Firma 5,Firma 14,1,Aktif,2005,BAHÇELİEVLER,40182,KOCASİNAN MERKEZ,41.02069618,28.84041721
98,Firma 976,2,Akaryakıt Lpg,Firma 12,Firma 37,1,Aktif,2054,SANCAKTEPE,40762,MECLİS,41.01257362,29.20741025
99,Firma 969,2,Akaryakıt Lpg,Firma 3,Firma 11,1,Aktif,1604,SARIYER,40673,POLİGON,41.11233072,29.04087981
100,Firma 527,2,Akaryakıt Lpg,Firma 9,Firma 3,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.01398501,28.54734886
101,Firma 131,1,Akaryakıt,Firma 15,,1,Aktif,1449,KARTAL,40559,ESENTEPE,40.90890613,29.20264182
102,Firma 371,2,Akaryakıt Lpg,Firma 15,Firma 42,1,Aktif,2048,ARNAVUTKÖY,,TAYAKADIN,,
103,Firma 435,1,Akaryakıt,Firma 10,Firma 10,1,Aktif,2004,BAĞCILAR,40172,FATİH,41.05473055,28.84050802
104,Firma 322,2,Akaryakıt Lpg,Firma 5,Firma 10,1,Aktif,1823,KÜÇÜKÇEKMECE,40590,HALKALI MERKEZ,41.03664270,28.79714928
