GEOHASH,TOTAL_VEHICLES,TOTAL_WEIGHTED_SUM,UNIQUE_DAYS,LATITUDE,LONGITUDE,MEAN_DAILY_VEHICLES,MEAN_SPEED,V_NORM,INV_SPEED,S_NORM,FINAL_DEMAND_SCORE
sxk3xe,5664472,248836180,355,41.0641479492188,28.8116455078125,15956.259154929578,43.92928061079656,0.9956511474976432,0.022712158502875626,0.18175755194391197,0.7514830688315237
sxkbgk,5689212,335024354,355,40.9378051757813,29.3280029296875,16025.949295774648,58.88765509177721,1.0,0.016952699652904128,0.10576130052641798,0.7317283901579253
sxk9pq,5341766,191961729,355,40.9927368164063,29.1522216796875,15047.228169014084,35.93600487179708,0.9389251654594236,0.027750023998432512,0.24823235500804944,0.7317173223240113
sxk3xd,5251609,226371280,355,41.0586547851563,28.8116455078125,14793.264788732395,43.10512835209171,0.9230771664677105,0.023145400514742055,0.18747419472513174,0.7023962749449368
sxk985,5246491,245582636,355,41.0641479492188,28.8336181640625,14778.847887323944,46.808931150363165,0.922177512987231,0.021317902059941905,0.16336029172593572,0.6945323466088424
sxk3k8,5115363,238418027,354,41.0037231445313,28.6798095703125,14450.177966101695,46.608232299447764,0.9016676246152965,0.0214095021534742,0.16456895801200191,0.6805380246343081
sxkb6p,5013870,203706837,355,40.8663940429688,29.2730712890625,14123.577464788732,40.62866348748572,0.8812868736197799,0.024552732998647495,0.20604399373939392,0.6787140096556641
sxkbge,5308423,345121014,355,40.9323120117188,29.3389892578125,14953.304225352113,65.01384949918271,0.933064058386421,0.01535771587291198,0.08471543640817568,0.6785594717929474
sxk3x8,4721712,166728649,354,41.0476684570313,28.8116455078125,13338.169491525423,35.31105857366989,0.8322753005553708,0.028239765775981522,0.2546945140798951,0.659001064612728
sxk3rs,4724627,169679540,355,41.0256958007813,28.8116455078125,13308.808450704226,35.913848860449725,0.8304430925228038,0.027767096037829942,0.2484576211367002,0.6558474511069727
sxk9nx,4889795,264594217,355,40.9982299804688,29.1192626953125,13774.070422535211,54.11151530892399,0.8594766927697427,0.018446265416148324,0.1254689505346525,0.6392743700992156
sxk3x7,4591255,194711447,355,41.0641479492188,28.8006591796875,12933.112676056338,42.409199009856785,0.8069986642307937,0.023524319989377495,0.1924740498176848,0.6226412799068609
sxk9fc,4456140,213795509,354,41.0971069335938,28.9544677734375,12587.966101694916,47.97773611242017,0.7854605883223458,0.02079964825427096,0.15652191549306493,0.5967789864735614
sxkc17,4501812,261582394,355,40.9762573242188,29.2401123046875,12681.160563380281,58.106023530080776,0.7912761737551146,0.01718035246787133,0.10876518700478624,0.5865228777300161
sxkc0s,4545777,290018513,355,40.9817504882813,29.2071533203125,12805.005633802817,63.79954692014149,0.799004439731918,0.015649563231641545,0.08856637203030505,0.5858730194214341
sxk3py,4314367,204009757,355,40.9927368164063,28.8226318359375,12153.14647887324,47.28613884725152,0.7583266726514658,0.021103217614405857,0.1605275233142882,0.5789869278503125
sxkc0u,4369876,231754032,355,40.9817504882813,29.2181396484375,12309.50985915493,53.03446413582445,0.7680841687530554,0.018820176626676045,0.13040272141544018,0.5767797345517708
sxkbgf,4422964,271937641,355,40.9268188476563,29.3499755859375,12459.05352112676,61.483123308261156,0.7774160960628822,0.016238215054380875,0.09633365244389559,0.5730913629771861
sxk3s9,4334190,230144996,355,41.0531616210938,28.6798095703125,12208.985915492958,53.09988625325609,0.7618112039026469,0.018797032671076346,0.13009733615019797,0.5722970435769121
sxk3t9,4206756,194616865,355,41.0531616210938,28.7237548828125,11850.016901408451,46.26293157958294,0.7394105705240965,0.021568955325516444,0.16667294792971776,0.5675892837457829
